ticker,security_type,name,valid_from,valid_to
PCP,EQUITY,Precision Castparts Corp,2016-01-04,2016-02-08
PDCO,EQUITY,Patterson Companies Inc,1992-10-28,2025-04-17
PENN,EQUITY,PENN Entertainment Inc,1994-05-26,
PETM,EQUITY,PetSmart Inc,1993-07-23,2015-03-11
PRGO,EQUITY,Perrigo Company plc,1991-12-17,
PVH,EQUITY,PVH Corp,1987-07-10,
PX,EQUITY,Praxair Inc,1992-06-17,2018-10-30
PXD,EQUITY,Pioneer Natural Resources Company,1997-08-08,2024-05-03
QEP,EQUITY,QEP Resources Inc,2010-06-16,2021-03-18
QRVO,EQUITY,Qorvo Inc,2015-01-02,
R,EQUITY,Ryder System Inc,1980-01-02,
RAI,EQUITY,Reynolds American Inc,1999-06-01,2017-08-17
RDC,EQUITY,Rowan Companies PLC,1983-04-06,2019-04-11
RHI,EQUITY,Robert Half Inc,1992-03-10,
RHT,EQUITY,Red Hat Inc,1999-08-11,2019-07-08
RIG,EQUITY,Transocean Ltd,1993-05-28,
ROH,EQUITY,ROHM HAAS CO,2006-12-28,2009-04-01
RRC,EQUITY,Range Resources Corp,1992-12-28,
RRD,EQUITY,R.R. Donnelley & Sons Company,1985-07-01,2022-02-25
RTN,EQUITY,Raytheon Company,1981-12-31,2020-04-03
SANM,EQUITY,Sanmina Corp,1993-06-22,
SAPE,EQUITY,Sapient Corp,1996-04-04,2015-02-05
SBNY,EQUITY,Signature Bank,2004-03-23,
SCG,EQUITY,SCANA Corp,1987-12-30,2018-12-31
SCI,EQUITY,Service Corp International,1987-07-23,
SEDG,EQUITY,Solaredge Technologies Inc,2015-03-26,
SEE,EQUITY,Sealed Air Corp,1987-12-30,2026-04-09
SIAL,EQUITY,SigmaAldrich Corp,1990-03-26,2015-11-18
SIG,EQUITY,Signet Jewelers Ltd,1994-10-31,
SLG,EQUITY,SL Green Realty Corp,1997-08-15,
SLM,EQUITY,SLM Corp,1988-01-05,
SNI,EQUITY,Scripps Networks Interactive Inc,2008-06-12,2018-03-16
SNT,EQUITY,Senstar Technologies Corp,1993-03-23,
SNV,EQUITY,Synovus Financial Corp,1990-01-12,2025-12-31
SOV,EQUITY,Santander Holdings USA Inc,2006-12-28,2009-01-29
SRCL,EQUITY,Stericycle Inc,1996-08-23,2024-11-04
SSP,EQUITY,E.W. Scripps Co. - Class A,1990-03-26,
STJ,EQUITY,St Jude Medical Inc,1989-12-07,2017-01-18
SUN,EQUITY,Sunoco LP,2012-09-20,
SVU,EQUITY,SUPERVALU INC.,1985-07-01,2018-12-14
